BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
53,42,13,10,0,9,0,75,52
43,64,3,9,0,8,0,54,73
56,45,10,9,0,7,0,73,54
50,46,11,11,0,9,0,70,57
53,45,9,12,0,8,0,70,57
56,46,9,13,0,3,0,68,59
49,58,6,6,0,8,0,63,64
56,41,15,9,0,6,0,77,50
52,46,9,12,0,8,0,69,58
56,43,8,13,0,7,0,71,56
44,57,8,9,0,9,0,61,66
57,42,10,10,0,8,0,75,52
51,48,8,13,0,7,0,66,61
52,46,12,11,0,6,0,70,57
57,40,11,12,0,7,0,75,52
46,55,9,9,0,8,0,63,64
55,46,5,12,0,9,0,69,58
49,46,14,10,0,8,0,71,56
56,38,12,14,0,7,0,75,52
62,38,7,11,0,9,0,78,49
64,39,10,7,0,7,0,81,46
48,49,10,13,0,7,0,65,62
58,41,13,9,0,6,0,77,50
50,49,12,13,0,3,0,65,62
56,40,12,12,0,7,0,75,52
48,56,7,11,0,5,0,60,67
58,39,11,12,0,7,0,76,51
58,42,13,8,0,6,0,77,50
61,39,13,10,0,4,0,78,49
54,44,9,12,0,8,0,71,56
59,40,10,12,0,6,0,75,52
52,47,9,11,0,8,0,69,58
47,55,7,13,0,5,0,59,68
50,45,8,17,0,7,0,65,62
60,44,8,11,0,4,0,72,55
51,51,7,11,0,7,0,65,62
50,47,11,10,0,9,0,70,57
50,48,10,13,0,6,0,66,61
48,49,11,13,0,6,0,65,62
60,41,9,10,0,7,0,76,51
56,40,12,14,0,5,0,73,54
53,52,8,7,0,7,0,68,59
48,53,9,12,0,5,0,62,65
47,57,8,9,0,6,0,61,66
64,37,11,9,0,6,0,81,46
66,41,7,9,0,4,0,77,50
58,38,13,12,0,6,0,77,50
54,43,11,11,0,8,0,73,54
50,47,8,15,0,7,0,65,62
57,38,13,12,0,7,0,77,50
49,50,8,12,0,8,0,65,62
54,48,9,11,0,5,0,68,59
52,45,9,14,0,7,0,68,59
53,45,12,12,0,5,0,70,57
49,54,9,8,0,7,0,65,62
54,44,11,10,0,8,0,73,54
54,44,7,14,0,8,0,69,58
59,48,6,8,0,6,0,71,56
48,58,8,11,0,2,0,58,69
56,36,14,15,0,6,0,76,51
52,48,9,12,0,6,0,67,60
51,50,12,7,0,7,0,70,57
55,44,11,11,0,6,0,72,55
51,43,12,12,0,9,0,72,55
43,50,7,19,0,8,0,58,69
55,48,10,10,0,4,0,69,58
58,42,15,7,0,5,0,78,49
52,44,8,15,0,8,0,68,59
62,44,9,7,0,5,0,76,51
59,44,10,6,0,8,0,77,50
55,44,7,14,0,7,0,69,58
54,47,10,10,0,6,0,70,57
58,40,10,11,0,8,0,76,51
56,41,11,10,0,9,0,76,51
59,39,12,10,0,7,0,78,49
52,47,8,12,0,8,0,68,59
50,45,9,12,0,11,0,70,57
47,54,5,14,0,7,0,59,68
